casinoCode,departingAt,arrivingAt,departingAirport
LAU,3/28/2022,4/1/2022,ELP
LAU,3/30/2022,4/3/2022,SDF
LAU,3/31/2022,4/4/2022,TOL
LAU,3/31/2022,4/4/2022,SBN
LAU,4/2/2022,4/6/2022,MSN
LAU,4/2/2022,4/6/2022,DEN
LAU,4/3/2022,4/7/2022,FWA
LAU,4/3/2022,4/7/2022,ICT
LAU,4/5/2022,4/9/2022,DFW
LAU,4/6/2022,4/10/2022,GRB
LAU,4/8/2022,4/12/2022,STL
LAU,4/9/2022,4/13/2022,MCI
LAU,4/11/2022,4/15/2022,CLE
LAU,4/12/2022,4/16/2022,SGF
LAU,4/12/2022,4/16/2022,LIT
LAU,4/14/2022,4/18/2022,PIA
LAU,4/14/2022,4/18/2022,ALO
LAU,4/15/2022,4/19/2022,GSO
LAU,4/17/2022,4/21/2022,DSM
LAU,4/17/2022,4/21/2022,FSD
LAU,4/18/2022,4/22/2022,MKE
LAU,4/20/2022,4/24/2022,SAT
LAU,4/21/2022,4/25/2022,FAR
LAU,4/22/2022,4/26/2022,CMH
LAU,4/23/2022,4/27/2022,AGS
LAU,4/23/2022,4/27/2022,MCN
LAU,4/24/2022,4/28/2022,AUS
LAU,4/24/2022,4/28/2022,MAF
LAU,4/25/2022,4/29/2022,MSP
LAU,4/26/2022,4/30/2022,DTW
TRW,2/1/2022,2/6/2022,RDU
TRW,2/2/2022,2/7/2022,BHM
TRW,2/2/2022,2/7/2022,CLE
TRW,2/2/2022,2/7/2022,CLT
TRW,2/2/2022,2/7/2022,EWR
TRW,2/2/2022,2/7/2022,IND
TRW,2/2/2022,2/7/2022,PIT
TRW,2/2/2022,2/7/2022,SDF
TRW,2/3/2022,2/8/2022,BWI
TRW,2/3/2022,2/8/2022,MSY
TRW,2/3/2022,2/8/2022,PHL
TRW,2/4/2022,2/8/2022,IAH
TRW,2/4/2022,2/6/2022,PHX
TRW,2/6/2022,2/11/2022,JFK
TRW,2/7/2022,2/12/2022,BUF
TRW,2/8/2022,2/13/2022,BOS
TRW,2/9/2022,2/14/2022,DTW
TRW,2/9/2022,2/14/2022,MCO
TRW,2/9/2022,2/14/2022,ORD
TRW,2/9/2022,2/14/2022,STL
TRW,2/10/2022,2/15/2022,ATL
TRW,2/11/2022,2/15/2022,AUS
TRW,2/11/2022,2/14/2022,DEN
TRW,2/11/2022,2/15/2022,DFW
TRW,2/13/2022,2/17/2022,IAH
TRW,2/13/2022,2/17/2022,SAT
TRW,2/15/2022,2/20/2022,EWR
TRW,2/16/2022,2/21/2022,BWI
TRW,2/16/2022,2/20/2022,IAH
TRW,2/16/2022,2/21/2022,MCI
TRW,2/16/2022,2/21/2022,RDU
TRW,2/17/2022,2/21/2022,DFW
TRW,2/17/2022,2/22/2022,PIT
TRW,2/18/2022,2/22/2022,OMA
TRW,2/18/2022,2/20/2022,PHX
TRW,2/19/2022,2/24/2022,BNA
TRW,2/19/2022,2/24/2022,BUF
TRW,2/20/2022,2/25/2022,IND
TRW,2/20/2022,2/25/2022,JFK
TRW,2/21/2022,2/26/2022,ORD
TRW,2/21/2022,2/26/2022,SDF
TRW,2/21/2022,2/26/2022,TPA
TRW,2/22/2022,2/26/2022,OKC
TRW,2/23/2022,2/28/2022,ATL
TRW,2/24/2022,3/1/2022,CLT
TRW,2/24/2022,2/28/2022,ELP
TRW,2/25/2022,2/28/2022,DEN
TRW,2/27/2022,3/4/2022,MSY
TRW,2/27/2022,3/4/2022,STL
TRW,2/28/2022,3/5/2022,DTW
TRW,3/1/2022,3/6/2022,BWI
TRW,3/1/2022,3/6/2022,EWR
TRW,3/2/2022,3/7/2022,BHM
TRW,3/2/2022,3/7/2022,CLE
TRW,3/2/2022,3/6/2022,IAH
TRW,3/2/2022,3/7/2022,IND
TRW,3/2/2022,3/7/2022,MCI
TRW,3/2/2022,3/7/2022,MCO
TRW,3/3/2022,3/7/2022,AUS
TRW,3/3/2022,3/8/2022,CLT
TRW,3/3/2022,3/8/2022,JFK
TRW,3/3/2022,3/8/2022,ORD
TRW,3/3/2022,3/8/2022,PHL
TRW,3/3/2022,3/8/2022,RDU
TRW,3/4/2022,3/8/2022,DFW
TRW,3/4/2022,3/8/2022,ELP
TRW,3/4/2022,3/6/2022,LAS
TRW,3/4/2022,3/6/2022,LAX
TRW,3/4/2022,3/6/2022,OAK
TRW,3/4/2022,3/8/2022,OKC
TRW,3/4/2022,3/6/2022,SAN
TRW,3/4/2022,3/6/2022,SEA
TRW,3/4/2022,3/6/2022,SJC
TRW,3/5/2022,3/10/2022,ATL
TRW,3/9/2022,3/14/2022,SDF
TRW,3/10/2022,3/13/2022,GEG
TRW,3/10/2022,3/15/2022,MSY
TRW,3/10/2022,3/13/2022,OAK
TRW,3/10/2022,3/15/2022,BOS
TRW,3/11/2022,3/14/2022,DEN
TRW,3/11/2022,3/13/2022,LAS
TRW,3/11/2022,3/13/2022,LAX
TRW,3/11/2022,3/13/2022,PHX
TRW,3/11/2022,3/13/2022,SAN
TRW,3/11/2022,3/15/2022,SAT
TRW,3/11/2022,3/13/2022,SJC
TRW,3/13/2022,3/17/2022,DFW
TRW,3/13/2022,3/17/2022,OMA
TRW,3/14/2022,3/19/2022,BUF
TRW,3/16/2022,3/21/2022,ATL
TRW,3/16/2022,3/21/2022,BWI
TRW,3/16/2022,3/21/2022,PIT
TRW,3/16/2022,3/21/2022,RDU
TRW,3/16/2022,3/21/2022,STL
TRW,3/16/2022,3/21/2022,TPA
TRW,3/17/2022,3/22/2022,BNA
TRW,3/17/2022,3/22/2022,DTW
TRW,3/17/2022,3/20/2022,LAS
TRW,3/17/2022,3/22/2022,ORD
TRW,3/18/2022,3/22/2022,DFW
TRW,3/18/2022,3/22/2022,IAH
TRW,3/18/2022,3/20/2022,LAX
TRW,3/18/2022,3/20/2022,OAK
TRW,3/18/2022,3/21/2022,SAN
TRW,3/18/2022,3/20/2022,SJC
TRW,3/20/2022,3/24/2022,AUS
TRW,3/20/2022,3/25/2022,JFK
TRW,3/21/2022,3/26/2022,SDF
TRW,3/22/2022,3/27/2022,MCO
TRW,3/22/2022,3/24/2022,SEA
TRW,3/23/2022,3/28/2022,CLT
TRW,3/23/2022,3/28/2022,EWR
TRW,3/24/2022,3/29/2022,ATL
TRW,3/24/2022,3/27/2022,LAX
TRW,3/25/2022,3/28/2022,DEN
TRW,3/25/2022,3/27/2022,LAS
TRW,3/25/2022,3/27/2022,OAK
TRW,3/25/2022,3/29/2022,OMA
TRW,3/25/2022,3/27/2022,PHX
TRW,3/25/2022,3/27/2022,SAN
TRW,3/25/2022,3/27/2022,SJC
TRW,3/27/2022,4/1/2022,BWI
TRW,3/27/2022,4/1/2022,MCI
TRW,3/27/2022,4/1/2022,ORD
TRW,2/8/2022,2/12/2022,MSY
TRW,2/10/2022,2/14/2022,CLE
TRW,2/13/2022,2/17/2022,DSM
TRW,2/13/2022,2/17/2022,FSD
TRW,2/18/2022,2/22/2022,MEM
TRW,2/21/2022,2/25/2022,AMA
TRW,2/21/2022,2/25/2022,ABQ
TRW,2/24/2022,2/28/2022,CLT
TRW,3/1/2022,3/5/2022,MSP
TRW,3/4/2022,3/8/2022,JAX
TRW,3/4/2022,3/8/2022,ICT
TRW,3/5/2022,3/9/2022,LGB
TRW,3/7/2022,3/11/2022,SDF
TRW,3/11/2022,3/15/2022,DAY
TRW,3/11/2022,3/15/2022,SAT
TRW,3/19/2022,3/23/2022,GRR
TRW,3/22/2022,3/26/2022,CHA
TRW,3/22/2022,3/26/2022,OKC
TRW,3/25/2022,3/29/2022,FAR
TRW,3/29/2022,4/2/2022,MSP
TRW,4/1/2022,4/5/2022,CRP
TRW,4/4/2022,4/8/2022,MDW
TRW,4/7/2022,4/11/2022,BMI
TRW,4/7/2022,4/11/2022,GCK
TRW,4/10/2022,4/14/2022,MBS
TRW,4/10/2022,4/14/2022,OKC
TRW,4/13/2022,4/17/2022,OMA
TRW,4/16/2022,4/20/2022,BTR
TRW,4/16/2022,4/20/2022,GGG
TRW,4/19/2022,4/23/2022,CAE
TAH,2/1/2022,2/6/2022,RDU
TAH,2/2/2022,2/7/2022,BHM
TAH,2/2/2022,2/7/2022,CLE
TAH,2/2/2022,2/7/2022,CLT
TAH,2/2/2022,2/7/2022,EWR
TAH,2/2/2022,2/7/2022,IND
TAH,2/2/2022,2/7/2022,PIT
TAH,2/2/2022,2/7/2022,SDF
TAH,2/3/2022,2/8/2022,BWI
TAH,2/3/2022,2/8/2022,MSY
TAH,2/3/2022,2/8/2022,PHL
TAH,2/4/2022,2/8/2022,IAH
TAH,2/4/2022,2/6/2022,PHX
TAH,2/6/2022,2/11/2022,JFK
TAH,2/7/2022,2/12/2022,BUF
TAH,2/8/2022,2/13/2022,BOS
TAH,2/9/2022,2/14/2022,DTW
TAH,2/9/2022,2/14/2022,MCO
TAH,2/9/2022,2/14/2022,ORD
TAH,2/9/2022,2/14/2022,STL
TAH,2/10/2022,2/15/2022,ATL
TAH,2/11/2022,2/15/2022,AUS
TAH,2/11/2022,2/14/2022,DEN
TAH,2/11/2022,2/15/2022,DFW
TAH,2/13/2022,2/17/2022,IAH
TAH,2/13/2022,2/17/2022,SAT
TAH,2/15/2022,2/20/2022,EWR
TAH,2/16/2022,2/21/2022,BWI
TAH,2/16/2022,2/20/2022,IAH
TAH,2/16/2022,2/21/2022,MCI
TAH,2/16/2022,2/21/2022,RDU
TAH,2/17/2022,2/21/2022,DFW
TAH,2/17/2022,2/22/2022,PIT
TAH,2/18/2022,2/22/2022,OMA
TAH,2/18/2022,2/20/2022,PHX
TAH,2/19/2022,2/24/2022,BNA
TAH,2/19/2022,2/24/2022,BUF
TAH,2/20/2022,2/25/2022,IND
TAH,2/20/2022,2/25/2022,JFK
TAH,2/21/2022,2/26/2022,ORD
TAH,2/21/2022,2/26/2022,SDF
TAH,2/21/2022,2/26/2022,TPA
TAH,2/22/2022,2/26/2022,OKC
TAH,2/23/2022,2/28/2022,ATL
TAH,2/24/2022,3/1/2022,CLT
TAH,2/24/2022,2/28/2022,ELP
TAH,2/25/2022,2/28/2022,DEN
TAH,2/27/2022,3/4/2022,MSY
TAH,2/27/2022,3/4/2022,STL
TAH,2/28/2022,3/5/2022,DTW
TAH,3/1/2022,3/6/2022,BWI
TAH,3/1/2022,3/6/2022,EWR
TAH,3/2/2022,3/7/2022,BHM
TAH,3/2/2022,3/7/2022,CLE
TAH,3/2/2022,3/6/2022,IAH
TAH,3/2/2022,3/7/2022,IND
TAH,3/2/2022,3/7/2022,MCI
TAH,3/2/2022,3/7/2022,MCO
TAH,3/3/2022,3/7/2022,AUS
TAH,3/3/2022,3/8/2022,CLT
TAH,3/3/2022,3/8/2022,JFK
TAH,3/3/2022,3/8/2022,ORD
TAH,3/3/2022,3/8/2022,PHL
TAH,3/3/2022,3/8/2022,RDU
TAH,3/4/2022,3/8/2022,DFW
TAH,3/4/2022,3/8/2022,ELP
TAH,3/4/2022,3/6/2022,LAS
TAH,3/4/2022,3/6/2022,LAX
TAH,3/4/2022,3/6/2022,OAK
TAH,3/4/2022,3/8/2022,OKC
TAH,3/4/2022,3/6/2022,SAN
TAH,3/4/2022,3/6/2022,SEA
TAH,3/4/2022,3/6/2022,SJC
TAH,3/5/2022,3/10/2022,ATL
TAH,3/9/2022,3/14/2022,SDF
TAH,3/10/2022,3/13/2022,GEG
TAH,3/10/2022,3/15/2022,MSY
TAH,3/10/2022,3/13/2022,OAK
TAH,3/10/2022,3/15/2022,BOS
TAH,3/11/2022,3/14/2022,DEN
TAH,3/11/2022,3/13/2022,LAS
TAH,3/11/2022,3/13/2022,LAX
TAH,3/11/2022,3/13/2022,PHX
TAH,3/11/2022,3/13/2022,SAN
TAH,3/11/2022,3/15/2022,SAT
TAH,3/11/2022,3/13/2022,SJC
TAH,3/13/2022,3/17/2022,DFW
TAH,3/13/2022,3/17/2022,OMA
TAH,3/14/2022,3/19/2022,BUF
TAH,3/16/2022,3/21/2022,ATL
TAH,3/16/2022,3/21/2022,BWI
TAH,3/16/2022,3/21/2022,PIT
TAH,3/16/2022,3/21/2022,RDU
TAH,3/16/2022,3/21/2022,STL
TAH,3/16/2022,3/21/2022,TPA
TAH,3/17/2022,3/22/2022,BNA
TAH,3/17/2022,3/22/2022,DTW
TAH,3/17/2022,3/20/2022,LAS
TAH,3/17/2022,3/22/2022,ORD
TAH,3/18/2022,3/22/2022,DFW
TAH,3/18/2022,3/22/2022,IAH
TAH,3/18/2022,3/20/2022,LAX
TAH,3/18/2022,3/20/2022,OAK
TAH,3/18/2022,3/21/2022,SAN
TAH,3/18/2022,3/20/2022,SJC
TAH,3/20/2022,3/24/2022,AUS
TAH,3/20/2022,3/25/2022,JFK
TAH,3/21/2022,3/26/2022,SDF
TAH,3/22/2022,3/27/2022,MCO
TAH,3/22/2022,3/24/2022,SEA
TAH,3/23/2022,3/28/2022,CLT
TAH,3/23/2022,3/28/2022,EWR
TAH,3/24/2022,3/29/2022,ATL
TAH,3/24/2022,3/27/2022,LAX
TAH,3/25/2022,3/28/2022,DEN
TAH,3/25/2022,3/27/2022,LAS
TAH,3/25/2022,3/27/2022,OAK
TAH,3/25/2022,3/29/2022,OMA
TAH,3/25/2022,3/27/2022,PHX
TAH,3/25/2022,3/27/2022,SAN
TAH,3/25/2022,3/27/2022,SJC
TAH,3/27/2022,4/1/2022,BWI
TAH,3/27/2022,4/1/2022,MCI
TAH,3/27/2022,4/1/2022,ORD
TAH,2/8/2022,2/12/2022,MSY
TAH,2/10/2022,2/14/2022,CLE
TAH,2/13/2022,2/17/2022,DSM
TAH,2/13/2022,2/17/2022,FSD
TAH,2/18/2022,2/22/2022,MEM
TAH,2/21/2022,2/25/2022,AMA
TAH,2/21/2022,2/25/2022,ABQ
TAH,2/24/2022,2/28/2022,CLT
TAH,3/1/2022,3/5/2022,MSP
TAH,3/4/2022,3/8/2022,JAX
TAH,3/4/2022,3/8/2022,ICT
TAH,3/5/2022,3/9/2022,LGB
TAH,3/7/2022,3/11/2022,SDF
TAH,3/11/2022,3/15/2022,DAY
TAH,3/11/2022,3/15/2022,SAT
TAH,3/19/2022,3/23/2022,GRR
TAH,3/22/2022,3/26/2022,CHA
TAH,3/22/2022,3/26/2022,OKC
TAH,3/25/2022,3/29/2022,FAR
TAH,3/29/2022,4/2/2022,MSP
TAH,4/1/2022,4/5/2022,CRP
TAH,4/4/2022,4/8/2022,MDW
TAH,4/7/2022,4/11/2022,BMI
TAH,4/7/2022,4/11/2022,GCK
TAH,4/10/2022,4/14/2022,MBS
TAH,4/10/2022,4/14/2022,OKC
TAH,4/13/2022,4/17/2022,OMA
TAH,4/16/2022,4/20/2022,BTR
TAH,4/16/2022,4/20/2022,GGG
TAH,4/19/2022,4/23/2022,CAE
TAC,3/29/2022,4/1/2022,GSP
TAC,3/29/2022,4/1/2022,TRI
TAC,3/30/2022,4/2/2022,PWM
TAC,3/30/2022,4/2/2022,MHT
TAC,4/1/2022,4/4/2022,RDU
TAC,4/2/2022,4/5/2022,LBE
TAC,4/3/2022,4/6/2022,CVG
TAC,4/3/2022,4/6/2022,DAY
TAC,4/6/2022,4/9/2022,BUF
TAC,4/7/2022,4/10/2022,CLT
TAC,4/9/2022,4/12/2022,PIT
TAC,4/9/2022,4/12/2022,DTW
TAC,4/11/2022,4/14/2022,PBI
TAC,4/15/2022,4/18/2022,FAY
TAC,4/15/2022,4/18/2022,ILM
TAC,4/18/2022,4/21/2022,SFB
TAC,4/21/2022,4/24/2022,HOU
TAC,4/21/2022,4/24/2022,DFW
TAC,4/22/2022,4/25/2022,MDW
TAC,4/22/2022,4/25/2022,IND
TAC,4/23/2022,4/26/2022,FLL
TAC,4/25/2022,4/28/2022,BOS
UTU,2/18/2022,2/22/2022,SPI
UTU,4/7/2022,4/10/2022,CMH
