casinocode,departingat,arrivingat,departingairport,
ATL,5/4/2022,5/7/2022,LBE,
ATL,5/5/2022,5/8/2022,GSO,
ATL,5/7/2022,5/10/2022,CAK,
ATL,5/8/2022,5/11/2022,SBN,
ATL,5/8/2022,5/11/2022,TOL,
ATL,5/9/2022,5/12/2022,MSY,
ATL,5/11/2022,5/14/2022,CMH,
ATL,5/12/2022,5/15/2022,RIC,
ATL,5/12/2022,5/15/2022,ORF,
ATL,5/13/2022,5/16/2022,PIT,
ATL,5/15/2022,5/18/2022,BUF,
ATL,5/16/2022,5/19/2022,CHA,
ATL,5/17/2022,5/20/2022,FWA,
ATL,5/19/2022,5/22/2022,ILM,
ATL,5/19/2022,5/22/2022,FAY,
ATL,5/20/2022,5/23/2022,AVL,
ATL,5/23/2022,5/26/2022,JAX,
ATL,5/23/2022,5/26/2022,SAV,
ATL,5/25/2022,5/28/2022,PWM,
ATL,5/25/2022,5/28/2022,MHT,
ATL,5/25/2022,5/28/2022,DTW,
ATL,5/27/2022,5/30/2022,BNA,
ATL,5/28/2022,5/31/2022,ALB,
ATL,5/28/2022,5/31/2022,BDL,
ATL,5/29/2022,6/1/2022,BOS,
ATL,5/29/2022,6/1/2022,PVD,
ATL,5/31/2022,6/3/2022,RFD,
ATL,5/31/2022,6/3/2022,TOL,
ATL,6/1/2022,6/4/2022,BFM,
ATL,6/2/2022,6/5/2022,LBE,
ATL,6/4/2022,6/7/2022,PGV,
ATL,6/4/2022,6/7/2022,OAJ,
ATL,6/5/2022,6/8/2022,MCN,
ATL,6/5/2022,6/8/2022,AGS,
ATL,6/6/2022,6/9/2022,LEX,
ATL,6/8/2022,6/11/2022,PBI,
ATL,6/9/2022,6/12/2022,CAK,
ATL,6/10/2022,6/13/2022,RIC,
ATL,6/10/2022,6/13/2022,ORF,
ATL,6/13/2022,6/16/2022,SAV,
ATL,6/13/2022,6/16/2022,ROA,
ATL,6/16/2022,6/19/2022,BUF,
ATL,6/17/2022,6/20/2022,LIT,
ATL,6/17/2022,6/20/2022,SGF,
ATL,6/18/2022,6/21/2022,RDU,
ATL,6/20/2022,6/23/2022,CLT,
ATL,6/21/2022,6/24/2022,SYR,
ATL,6/21/2022,6/24/2022,ROC,
ATL,6/22/2022,6/25/2022,DTW,
ATL,6/24/2022,6/27/2022,AVL,
ATL,6/25/2022,6/28/2022,FAY,
ATL,6/25/2022,6/28/2022,ILM,
ATL,6/26/2022,6/29/2022,DAY,
ATL,6/28/2022,7/1/2022,MKE,
ATL,6/29/2022,7/2/2022,LBE,
ATL,7/1/2022,7/4/2022,PGV,
ATL,7/2/2022,7/2/2022,MDW,
ATL,7/5/2022,7/8/2022,PBI,
ATL,7/7/2022,7/10/2022,CLE,
ATL,7/8/2022,7/10/2022,GSO,
ATL,7/10/2022,7/13/2022,BUF,
ATL,7/11/2022,7/14/2022,CAE,
ATL,7/13/2022,7/16/2022,PIT,
ATL,7/14/2022,7/17/2022,RIC,
ATL,7/14/2022,7/17/2022,ORF,
ATL,7/16/2022,7/19/2022,BNA,
ATL,7/17/2022,7/20/2022,MCN,
ATL,7/17/2022,7/20/2022,AGS,
ATL,7/19/2022,7/22/2022,PVD,
ATL,7/19/2022,7/22/2022,BOS,
ATL,7/20/2022,7/23/2022,CMH,
ATL,7/22/2022,7/25/2022,MHT,
ATL,7/22/2022,7/25/2022,PWM,
ATL,7/23/2022,7/26/2022,CLT,
ATL,7/25/2002,7/28/2022,CHA,
ATL,7/26/2022,7/29/2022,ALB,
ATL,7/26/2022,7/29/2022,BDL,
ATL,7/28/2022,7/31/2022,FAY,
ATL,7/28/2022,7/31/2022,ILM,
GBI,5/5/2022,5/8/2022,GRR,
GBI,5/6/2022,5/9/2022,LIT,
GBI,5/7/2022,5/10/2022,SDF,
GBI,5/10/2022,5/13/2022,IND,
GBI,5/11/2022,5/14/2022,CLE,
GBI,5/13/2022,5/16/2022,DFW,
GBI,5/14/2022,5/17/2022,MKE,
GBI,5/15/2022,5/18/2022,MYR,
GBI,5/15/2022,5/18/2022,CHS,
GBI,5/17/2022,5/20/2022,TRI,
GBI,5/17/2022,5/20/2022,GSP,
GBI,5/18/2022,5/21/2022,BWI,
GBI,5/19/2022,5/22/2022,PIE,
GBI,5/21/2022,5/24/2022,CLT,
GBI,5/22/2022,5/25/2022,DAY,
GBI,5/23/2022,5/27/2022,ABE,
GBI,5/27/2022,5/30/2022,MDW,
GBI,5/30/2022,6/2/2022,STL,
GBI,5/31/2022,6/3/2022,EWR,
GBI,6/2/2022,6/5/2022,TYS,
GBI,6/3/2022,6/6/2022,SPI,
GBI,6/4/2022,6/7/2022,MLB,
GBI,6/6/2022,6/9/2022,FWA,
GBI,6/6/2022,6/9/2022,HSV,
GBI,6/7/2022,6/10/2022,MYR,
GBI,6/7/2022,6/10/2022,CHS,
GBI,6/11/2022,6/14/2022,RSW,
GBI,6/12/2022,6/15/2022,DTW,
GBI,6/14/2022,6/17/2022,IAH,
GBI,6/15/2022,6/18/2022,PIE,
GBI,6/16/2022,6/19/2022,GSO,
GBI,6/18/2022,6/21/2022,CMH,
GBI,6/19/2022,6/22/2022,CLE,
GBI,6/20/2022,6/23/2022,ICT,
GBI,6/20/2022,6/23/2022,OKC,
GBI,6/22/2022,6/25/2022,CAE,
GBI,6/23/2022,6/26/2022,PIT,
GBI,6/24/2022,6/27/2022,GRB,
GBI,6/26/2022,6/29/2022,IND,
GBI,6/27/2022,6/30/2022,TRI,
GBI,6/27/2022,6/30/2022,GSP,
GBI,6/28/2022,7/1/2022,CAE,
GBI,6/28/2022,7/1/2022,MCN,
GBI,6/30/2022,7/3/2022,CHS,
GBI,6/30/2022,7/3/2022,MYR,
GBI,7/4/2022,7/7/2022,DTW,
GBI,7/6/2022,7/9/2022,GRR,
GBI,7/8/2022,7/11/2022,TPA,
GBI,7/9/2022,7/12/2022,MCI,
GBI,7/10/2022,7/13/2022,DAY,
GBI,7/12/2022,7/15/2022,TYS,
GBI,7/15/2022,7/15/2022,DEN,
GBI,7/14/2022,7/17/2022,JAX,
GBI,7/15/2022,7/18/2022,OMA,
GBI,7/16/2022,7/19/2022,PHL,
GBI,7/18/2022,7/21/2022,BWI,
GBI,7/18/2022,7/21/2022,SGF,
GBI,7/18/2022,7/21/2022,LIT,
GBI,7/20/2022,7/23/2022,PIE,
GBI,7/21/2022,7/24/2022,BMI,
GBI,7/22/2022,7/25/2022,CAK,
GBI,7/24/2022,7/27/2022,RFD,
GBI,7/24/2022,7/27/2022,SDF,
GBI,7/26/2022,7/29/2022,TRI,
GBI,7/26/2022,7/29/2022,GSP,
GBI,7/27/2022,7/30/2022,IND,
GBI,7/28/2022,7/31/2022,RDU,
HLT,05/04/22,05/09/22,BHM,
HLT,05/04/22,05/09/22,CLE,
HLT,05/04/22,05/09/22,IND,
HLT,05/04/22,05/09/22,SDF,
HLT,05/04/22,05/09/22,EWR,
HLT,05/04/22,05/09/22,PHL,
HLT,05/05/22,05/10/22,ATL,
HLT,05/05/22,05/08/22,ACV,
HLT,05/05/22,05/10/22,CLT,
HLT,05/05/22,05/10/22,MSY,
HLT,05/06/22,05/09/22,BFL,
HLT,05/06/22,05/10/22,IAH,
HLT,05/08/22,05/12/22,ACV,
HLT,05/08/22,05/13/22,JFK,
HLT,05/09/22,05/13/22,BFL,
HLT,05/09/22,05/14/22,BWI,
HLT,05/09/22,05/13/22,SAT,
HLT,05/11/22,05/16/22,DTW,
HLT,05/11/22,05/16/22,STL,
HLT,05/12/22,05/17/22,BOS,
HLT,05/12/22,05/15/22,ACV,
HLT,05/12/22,04/17/22,ORD,
HLT,05/12/22,05/17/22,MCO,
HLT,05/12/22,05/17/22,PIT,
HLT,05/12/22,05/17/22,RDU,
HLT,05/13/22,05/17/22,AUS,
HLT,05/13/22,05/16/22,BFL,
HLT,05/13/22,05/16/22,DEN,
HLT,05/13/22,05/15/22,PHX,
HLT,05/15/22,05/19/22,ACV,
HLT,05/15/22,05/20/22,CLT,
HLT,05/16/22,05/21/22,ATL,
HLT,05/16/22,05/20/22,BFL,
HLT,05/16/22,05/21/22,CLE,
HLT,05/16/22,05/21/22,IND,
HLT,05/16/22,05/21/22,SDF,
HLT,05/17/22,05/22/22,EWR,
HLT,05/18/22,05/23/22,BWI,
HLT,05/18/22,05/23/22,BNA,
HLT,05/19/22,05/24/22,ATL,
HLT,05/19/22,05/22/22,ACV,
HLT,05/20/22,05/23/22,BFL,
HLT,05/20/22,05/24/22,DFW,
HLT,05/20/22,05/24/22,IAH,
HLT,05/20/22,05/24/22,OMA,
HLT,05/22/22,05/26/22,AUS,
HLT,05/22/22,05/26/22,ACV,
HLT,05/22/22,05/27/22,JFK,
HLT,05/23/22,05/27/22,BFL,
HLT,05/25/22,05/30/22,BUF,
HLT,05/25/22,05/30/22,ORD,
HLT,05/26/22,05/29/22,ACV,
HLT,05/26/22,05/31/22,TPA,
HLT,05/27/22,05/30/22,BFL,
HLT,05/28/22,06/02/22,BHM,
HLT,06/01/22,06/06/22,BWI,
HLT,06/01/22,06/06/22,MCI,
HLT,06/02/22,06/07/22,ATL,
HLT,06/02/22,06/07/22,CLE,
HLT,06/02/22,06/07/22,IND,
HLT,06/02/22,06/07/02,EWR,
HLT,06/02/22,06/05/22,OAK,
HLT,06/02/22,06/05/22,ONT,
HLT,06/02/22,06/07/22,MCO,
HLT,06/02/22,06/07/22,RDU,
HLT,06/03/22,06/07/22,AUS,
HLT,06/03/22,06/07/22,DFW,
HLT,06/03/22,06/06/22,DEN,
HLT,06/03/22,06/07/22,IAH,
HLT,06/03/22,06/05/22,PHX,
HLT,06/05/22,06/10/22,JFK,
HLT,06/06/22,06/11/55,CLT,
HLT,06/08/22,06/13/22,BOS,
HLT,06/09/22,06/14/22,BHM,
HLT,06/09/22,06/14/22,ORD,
HLT,06/09/22,06/14/22,MSY,
HLT,06/09/22,06/14/22,PHL,
HLT,06/09/22,06/12/22,SAN,
HLT,06/09/22,06/14/22,TPA,
HLT,06/10/22,06/13/22,LAS,
HLT,06/10/22,06/12/22,LAX,
HLT,06/10/22,06/12/22,SJC,
HLT,06/10/22,06/12/22,OAK,
HLT,06/10/22,06/14/22,SAT,
HLT,06/10/22,06/12/22,SEA,
HLT,06/12/22,06/17/22,ATL,
HLT,06/13/22,06/18/22,ORD,
HLT,06/14/22,06/19/22,EWR,
HLT,06/15/22,06/20/22,BUF,
HLT,06/15/22,06/20/22,DTW,
HLT,06/15/22,06/20/22,STL,
HLT,06/16/22,06/21/22,MCI,
HLT,06/16/22,06/21/22,BNA,
HLT,06/16/22,06/20/22,OKC,
HLT,06/16/22,06/21/22,PIT,
HLT,06/17/22,06/21/22,IAH,
HLT,06/17/22,06/19/22,LAS,
HLT,06/17/22,06/20/22,LAX,
HLT,06/17/22,06/22/22,SDF,
HLT,06/17/22,06/20/22,SJC,
HLT,06/17/22,06/19/22,OAK,
HLT,06/17/22,06/19/22,PHX,
HLT,06/17/22,06/19/22,SAN,
HLT,06/18/22,06/23/22,JFK,
HLT,06/21/22,06/23/22,SEA,
HLT,06/22/22,06/27/22,BWI,
HLT,06/22/22,06/27/22,CLT,
HLT,06/23/22,06/28/22,ATL,
HLT,06/23/22,06/28/22,ORD,
HLT,06/23/22,06/28/22,EWR,
HLT,06/24/22,06/28/22,DFW,
HLT,06/24/22,06/27/22,DEN,
HLT,06/24/22,06/28/22,ELP,
HLT,06/24/22,06/26/22,LAS,
HLT,06/24/22,06/26/22,LAX,
HLT,06/24/22,06/26/22,SJC,
HLT,06/24/22,06/26/22,OAK,
HLT,06/24/22,06/28/22,OMA,
HLT,06/24/22,06/26/22,SAN,
HLT,06/25/22,06/29/22,IAH,
HLT,5/5/2022,5/9/2022,SHV,
HLT,5/6/2022,5/10/2022,STL,
HLT,5/9/2022,5/13/2022,IAH,
HLT,5/12/2022,5/16/2022,TYS,
HLT,5/15/2022,5/19/2022,DTW,
HLT,5/18/2022,5/22/2022,DSM,
HLT,5/18/2022,5/22/2022,FSD,
HLT,6/4/2022,6/8/2022,CMH,
HLT,6/7/2022,6/11/2022,GRB,
HLT,06/088/22,6/12/2022,IND,
HLT,6/11/2022,6/15/2022,GRR,
HLT,6/11/2022,6/15/2022,GRI,
HLT,6/12/2022,6/16/2022,MKE,
HLT,6/15/2022,6/19/2022,MSP,
HLT,6/18/2022,6/22/2022,DFW,
HLT,6/20/2022,6/24/2022,MCI,
HLT,6/23/2022,6/27/2022,MBS,
HLT,6/23/2022,6/27/2022,DEN,
HLT,7/14/2022,7/18/2022,MDW,
HLT,7/18/2022,7/22/2022,MKE,
HLT,7/20/2022,7/24/2022,DFW,
HLT,7/23/2022,7/27/2022,DTW,
LAU,5/7/2022,5/11/2022,MBS,
LAU,5/7/2022,5/11/2022,OMA,
LAU,5/8/2022,5/12/2022,CLT,
LAU,5/10/2022,5/14/2022,MCI,
LAU,5/11/2022,5/15/2022,MDW,
LAU,5/13/2022,5/17/2022,ACT,
LAU,5/13/2022,5/17/2022,ABQ,
LAU,5/14/2022,5/18/2022,PIA,
LAU,5/14/2022,5/18/2022,GRI,
LAU,5/17/2022,5/21/2022,MFE,
LAU,5/17/2022,5/21/2022,ELP,
LAU,5/19/2022,5/23/2022,GRR,
LAU,5/19/2022,5/23/2022,GCK,
LAU,5/20/2022,5/24/2022,SDF,
LAU,5/21/2022,5/25/2022,CRP,
LAU,5/22/2022,5/26/2022,FAR,
LAU,5/22/2022,5/26/2022,DEN,
LAU,5/24/2022,5/28/2022,IND,
LAU,5/25/2022,5/29/2022,SAT,
LAU,5/26/2022,5/30/2022,MSP,
LAU,5/28/2022,6/1/2022,RDU,
LAU,5/29/2022,6/2/2022,GGG,
LAU,5/29/2022,6/2/2022,AZA,
LAU,5/30/2022,6/3/2022,EAU,
LAU,5/30/2022,6/3/2022,MSN,
LAU,5/31/2022,6/4/2022,SBN,
LAU,5/31/2022,6/4/2022,MLI,
LAU,6/1/2022,6/5/2022,GSO,
LAU,6/2/2022,6/6/2022,IAH,
LAU,6/3/2022,6/7/2022,CWA,
LAU,6/3/2022,6/7/2022,PUB,
LAU,6/5/2022,6/9/2022,CAE,
LAU,6/6/2022,6/10/2022,BTR,
LAU,6/6/2022,6/10/2022,AUS,
LAU,6/9/2022,6/13/2022,SFB,
LAU,6/10/2022,6/14/2022,BHM,
LAU,6/13/2022,6/17/2022,JAX,
LAU,6/13/2022,6/17/2022,SHV,
LAU,6/14/2022,6/18/2022,MEM,
LAU,6/16/2022,6/20/2022,STL,
LAU,6/17/2022,6/21/2022,TYS,
LAU,6/21/2022,6/25/2022,BNA,
LAU,6/22/2022,6/26/2022,SAT,
LAU,6/24/2022,6/28/2022,OMA,
LAU,6/25/2022,6/29/2022,SDF,
LAU,6/26/2022,6/30/2022,MFE,
LAU,6/27/2022,7/1/2022,SBN,
LAU,6/27/2022,7/1/2022,MLI,
LAU,6/28/2022,7/2/2022,DSM,
LAU,6/28/2022,7/2/2022,FSD,
LAU,6/29/2022,7/3/2022,CHA,
LAU,6/30/2022,7/4/2022,CRP,
LAU,7/1/2022,7/5/2022,CMH,
LAU,7/2/2022,7/6/2022,FAR,
LAU,7/3/2022,7/7/2022,EVV,
LAU,7/3/2022,7/7/2022,COS,
LAU,7/4/2022,7/8/2022,MSY,
LAU,7/4/2022,7/8/2022,GRK,
LAU,7/5/2022,7/9/2022,CWA,
LAU,7/5/2022,7/9/2022,ALO,
LAU,7/6/2022,7/10/2022,MSP,
LAU,7/7/2022,7/11/2022,STL,
LAU,7/8/2022,7/12/2022,IAH,
LAU,7/9/2022,7/13/2022,PIA,
LAU,7/11/2022,7/15/2022,CVG,
LAU,7/11/2022,7/15/2022,PUB,
LAU,7/12/2022,7/16/2022,GGG,
LAU,7/12/2022,7/16/2022,ACT,
LAU,7/13/2022,7/17/2022,MSN,
LAU,7/13/2022,7/17/2022,GRI,
LAU,7/15/2022,7/19/2022,FWA,
LAU,7/15/2022,7/19/2022,GCK,
LAU,7/16/2022,7/20/2022,SAT,
LAU,7/17/2022,7/21/2022,BIS,
LAU,7/17/2022,7/21/2022,MOT,
